2024-02-07 19:46:19,022 INFO    StreamThr :880256 [internal.py:wandb_internal():86] W&B internal server running at pid: 880256, started at: 2024-02-07 19:46:19.021767
2024-02-07 19:46:19,024 DEBUG   HandlerThread:880256 [handler.py:handle_request():146] handle_request: status
2024-02-07 19:46:19,028 INFO    WriterThread:880256 [datastore.py:open_for_write():87] open: /hpc2hdd/home/wenshuozhang/wsZHANG/hanlin/wandb/run-20240207_194618-w83ekx23/run-w83ekx23.wandb
2024-02-07 19:46:19,029 DEBUG   SenderThread:880256 [sender.py:send():382] send: header
2024-02-07 19:46:19,051 DEBUG   SenderThread:880256 [sender.py:send():382] send: run
2024-02-07 19:46:19,656 DEBUG   HandlerThread:880256 [handler.py:handle_request():146] handle_request: check_version
2024-02-07 19:46:19,666 INFO    SenderThread:880256 [dir_watcher.py:__init__():211] watching files in: /hpc2hdd/home/wenshuozhang/wsZHANG/hanlin/wandb/run-20240207_194618-w83ekx23/files
2024-02-07 19:46:19,666 INFO    SenderThread:880256 [sender.py:_start_run_threads():1136] run started: w83ekx23 with start time 1707306379.02262
2024-02-07 19:46:19,667 DEBUG   SenderThread:880256 [sender.py:send_request():409] send_request: check_version
2024-02-07 19:46:19,777 DEBUG   HandlerThread:880256 [handler.py:handle_request():146] handle_request: run_start
2024-02-07 19:46:19,830 DEBUG   HandlerThread:880256 [system_info.py:__init__():27] System info init
2024-02-07 19:46:19,830 DEBUG   HandlerThread:880256 [system_info.py:__init__():42] System info init done
2024-02-07 19:46:19,830 INFO    HandlerThread:880256 [system_monitor.py:start():194] Starting system monitor
2024-02-07 19:46:19,833 INFO    SystemMonitor:880256 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-02-07 19:46:19,833 INFO    HandlerThread:880256 [system_monitor.py:probe():214] Collecting system info
2024-02-07 19:46:19,837 INFO    SystemMonitor:880256 [interfaces.py:start():190] Started cpu monitoring
2024-02-07 19:46:19,866 INFO    SystemMonitor:880256 [interfaces.py:start():190] Started disk monitoring
2024-02-07 19:46:19,879 INFO    SystemMonitor:880256 [interfaces.py:start():190] Started gpu monitoring
2024-02-07 19:46:19,911 INFO    SystemMonitor:880256 [interfaces.py:start():190] Started memory monitoring
2024-02-07 19:46:19,913 INFO    SystemMonitor:880256 [interfaces.py:start():190] Started network monitoring
2024-02-07 19:46:19,938 DEBUG   HandlerThread:880256 [system_info.py:probe():151] Probing system
2024-02-07 19:46:19,951 DEBUG   HandlerThread:880256 [system_info.py:_probe_git():136] Probing git
2024-02-07 19:46:20,036 DEBUG   HandlerThread:880256 [system_info.py:_probe_git():144] Probing git done
2024-02-07 19:46:20,036 DEBUG   HandlerThread:880256 [system_info.py:probe():199] Probing system done
