2024-02-06 17:21:34,210 INFO    MainThread:1504523 [wandb_setup.py:_flush():76] Current SDK version is 0.16.2
2024-02-06 17:21:34,211 INFO    MainThread:1504523 [wandb_setup.py:_flush():76] Configure stats pid to 1504523
2024-02-06 17:21:34,211 INFO    MainThread:1504523 [wandb_setup.py:_flush():76] Loading settings from /hpc2hdd/home/wenshuozhang/.config/wandb/settings
2024-02-06 17:21:34,211 INFO    MainThread:1504523 [wandb_setup.py:_flush():76] Loading settings from /hpc2hdd/home/wenshuozhang/wsZHANG/hanlin/wandb/settings
2024-02-06 17:21:34,211 INFO    MainThread:1504523 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-02-06 17:21:34,211 INFO    MainThread:1504523 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-02-06 17:21:34,211 INFO    MainThread:1504523 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'tune_clip.py', 'program_abspath': '/hpc2hdd/home/wenshuozhang/wsZHANG/hanlin/tune_clip.py', 'program': '/hpc2hdd/home/wenshuozhang/wsZHANG/hanlin/tune_clip.py'}
2024-02-06 17:21:34,212 INFO    MainThread:1504523 [wandb_init.py:_log_setup():526] Logging user logs to /hpc2hdd/home/wenshuozhang/wsZHANG/hanlin/wandb/run-20240206_172134-8ji3td32/logs/debug.log
2024-02-06 17:21:34,212 INFO    MainThread:1504523 [wandb_init.py:_log_setup():527] Logging internal logs to /hpc2hdd/home/wenshuozhang/wsZHANG/hanlin/wandb/run-20240206_172134-8ji3td32/logs/debug-internal.log
2024-02-06 17:21:34,212 INFO    MainThread:1504523 [wandb_init.py:init():566] calling init triggers
2024-02-06 17:21:34,212 INFO    MainThread:1504523 [wandb_init.py:init():573] wandb.init called with sweep_config: {}
config: {'learning_rate': 5e-06, 'architecture': 'ViT-B/32', 'dataset': 'Qulit-1M', 'epochs': 40}
2024-02-06 17:21:34,212 INFO    MainThread:1504523 [wandb_init.py:init():616] starting backend
2024-02-06 17:21:34,212 INFO    MainThread:1504523 [wandb_init.py:init():620] setting up manager
2024-02-06 17:21:34,221 INFO    MainThread:1504523 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-02-06 17:21:34,223 INFO    MainThread:1504523 [wandb_init.py:init():628] backend started and connected
2024-02-06 17:21:34,237 INFO    MainThread:1504523 [wandb_init.py:init():720] updated telemetry
2024-02-06 17:21:34,237 INFO    MainThread:1504523 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2024-02-06 17:21:34,879 INFO    MainThread:1504523 [wandb_run.py:_on_init():2254] communicating current version
2024-02-06 17:21:35,049 INFO    MainThread:1504523 [wandb_run.py:_on_init():2263] got version response 
2024-02-06 17:21:35,049 INFO    MainThread:1504523 [wandb_init.py:init():804] starting run threads in backend
2024-02-06 17:21:37,334 INFO    MainThread:1504523 [wandb_run.py:_console_start():2233] atexit reg
2024-02-06 17:21:37,337 INFO    MainThread:1504523 [wandb_run.py:_redirect():2088] redirect: wrap_raw
2024-02-06 17:21:37,337 INFO    MainThread:1504523 [wandb_run.py:_redirect():2153] Wrapping output streams.
2024-02-06 17:21:37,337 INFO    MainThread:1504523 [wandb_run.py:_redirect():2178] Redirects installed.
2024-02-06 17:21:37,337 INFO    MainThread:1504523 [wandb_init.py:init():847] run started, returning control to user process
